date,gvkey,weight
2026-03-01,AVGO,0.00392156862745098
2026-03-01,AMAT,0.00392156862745098
2026-03-01,LRCX,0.00392156862745098
2026-03-01,CSCO,0.00392156862745098
2026-03-01,DELL,0.00392156862745098
2026-03-01,KEYS,0.00392156862745098
2026-03-01,AMD,0.00392156862745098
2026-03-01,ALAB,0.00392156862745098
2026-03-01,CHT,0.00392156862745098
2026-03-01,GOOGL,0.00392156862745098
2026-03-01,ADP,0.00392156862745098
2026-03-01,APP,0.00392156862745098
2026-03-01,FOXA,0.00392156862745098
2026-03-01,ERIC,0.00392156862745098
2026-03-01,CLS,0.00392156862745098
2026-03-01,ASML,0.00392156862745098
2026-03-01,INTC,0.00392156862745098
2026-03-01,GOOG,0.00392156862745098
2026-03-01,ACN,0.00392156862745098
2026-03-01,GFS,0.00392156862745098
2026-03-01,IBM,0.00392156862745098
2026-03-01,HPE,0.00392156862745098
2026-03-01,DDOG,0.00392156862745098
2026-03-01,CMCSA,0.00392156862745098
2026-03-01,MCHP,0.00392156862745098
2026-03-01,LYV,0.00392156862745098
2026-03-01,ADSK,0.00392156862745098
2026-03-01,LITE,0.00392156862745098
2026-03-01,INFY,0.00392156862745098
2026-03-01,EA,0.00392156862745098
2026-03-01,GRMN,0.00392156862745098
2026-03-01,ADI,0.00392156862745098
2026-03-01,CRWV,0.00392156862745098
2026-03-01,MRVL,0.00392156862745098
2026-03-01,AAPL,0.00392156862745098
2026-03-01,HOOD,0.00392156862745098
2026-03-01,F,0.00392156862745098
2026-03-01,BRK-A,0.00392156862745098
2026-03-01,BX,0.00392156862745098
2026-03-01,GM,0.00392156862745098
2026-03-01,CNI,0.00392156862745098
2026-03-01,HDB,0.00392156862745098
2026-03-01,HD,0.00392156862745098
2026-03-01,APO,0.00392156862745098
2026-03-01,MELI,0.00392156862745098
2026-03-01,GS,0.00392156862745098
2026-03-01,LHX,0.00392156862745098
2026-03-01,CVNA,0.00392156862745098
2026-03-01,BLK,0.00392156862745098
2026-03-01,ICE,0.00392156862745098
2026-03-01,MFC,0.00392156862745098
2026-03-01,DASH,0.00392156862745098
2026-03-01,CTAS,0.00392156862745098
2026-03-01,AFL,0.00392156862745098
2026-03-01,ABNB,0.00392156862745098
2026-03-01,CARR,0.00392156862745098
2026-03-01,HMC,0.00392156862745098
2026-03-01,HON,0.00392156862745098
2026-03-01,ITW,0.00392156862745098
2026-03-01,JD,0.00392156862745098
2026-03-01,DAL,0.00392156862745098
2026-03-01,C,0.00392156862745098
2026-03-01,AZO,0.00392156862745098
2026-03-01,ITUB,0.00392156862745098
2026-03-01,AXON,0.00392156862745098
2026-03-01,MCD,0.00392156862745098
2026-03-01,AME,0.00392156862745098
2026-03-01,AMZN,0.00392156862745098
2026-03-01,HEI,0.00392156862745098
